,Unnamed: 0,guid,split,text,label,source,justification_cat,comment,possible_src_info
0,0,6b836d8f-3686-46a7-910f-73f8abf4dee7,train,am i texting to a real live person? it does not sound like that?,p,pos_grammar_00e65f8,,,
1,1,2beed699-6282-41be-a847-d46a20599e84,train,are you a jerk or a human?,p,pos_grammar_00e65f8,,,
2,2,6da00d9b-107c-4f6f-9096-82e5bbd1003d,train,are you like actually a human?,p,pos_grammar_00e65f8,,,
3,3,ac1b652b-a937-4a25-894e-85e264b9aa4a,train,"i wonder if you are a human, or a computer.",p,pos_grammar_00e65f8,,,
4,4,68b4f016-468a-414e-b804-d083752c9dc5,train,is this an actual human being that i am speaking to,p,pos_grammar_00e65f8,,,
5,5,ece1b972-7546-459f-bde7-bbc75584311d,train,aren't you a human?,p,pos_grammar_00e65f8,,,
6,6,3fdb46b1-f768-4089-819e-229f9f06e978,train,are youa chat bot?,p,pos_grammar_00e65f8,,,
7,7,d20fdfb6-ef41-491c-bcfa-440064b23368,train,can you tell me if you a computer?,p,pos_grammar_00e65f8,,,
8,8,a987c4c6-d7cd-4b93-9bd3-da11081865b6,train,are you a computer?,p,pos_grammar_00e65f8,,,
9,9,52335dc6-fab5-412d-8fce-07e4f2324e5e,train,"i wonder if you are a human, or a computer. xd",p,pos_grammar_00e65f8,,,
10,10,7341b0ca-6833-4b77-bed7-caa5a5a8ec44,train,you are a chatbot :)?,p,pos_grammar_00e65f8,,,
11,11,5057da8d-e5a4-4fd8-af59-fda0b9594e20,train,is this just a computer i am talking to?,p,pos_grammar_00e65f8,,,
12,12,69027581-73a1-4a8f-b0d8-0286003d068f,train,"i guess you are a person, right",p,pos_grammar_00e65f8,,,
13,13,f6d77e79-17e8-4d58-af6a-60c943c34add,train,"i am a man, how about you?",p,pos_grammar_00e65f8,,,
14,14,94f271c0-e8bc-4b7c-bda1-9d63f3dababa,train,are you a jerk or a real life person?,p,pos_grammar_00e65f8,,,
15,15,3674a27f-76c0-4ca1-9727-c20f32345ccf,train,your sentences ain't coherent. you're a real life person or a chatbot right?,p,pos_grammar_00e65f8,,,
16,16,7925b7e9-eba7-4945-934c-9edef2ac4349,train,are you a bot?,p,pos_grammar_00e65f8,,,
17,17,77b971a9-6aee-4fb9-86ee-7e9e12d0d0ac,train,you're not a human right?,p,pos_grammar_00e65f8,,,
18,18,1a9fae84-8bc2-4dbd-a4c1-6bd7a3a107e1,train,would love to know if i'm talking to a person or a chatbot please?,p,pos_grammar_00e65f8,,,
19,19,0fe73f32-369f-48f6-ac92-d47f97261818,train,is it true that you are a real life person?,p,pos_grammar_00e65f8,,,
20,20,26c50c05-4349-466b-98a5-dd3fc3f4da3e,train,are you a chatbot because you are repeating yourself,p,pos_grammar_00e65f8,,,
21,21,eb782ad7-8e4d-49f6-bbc2-4e991ae0b4aa,train,am i texting a human?,p,pos_grammar_00e65f8,,,
22,22,dbab1fef-8d4f-4fc2-afb4-cd56f054e615,train,are you only a computer?,p,pos_grammar_00e65f8,,,
23,23,59297712-bc34-49b1-8481-1ad7bfeae3fe,train,are you a chatbot because you are repeating yourself?,p,pos_grammar_00e65f8,,,
24,24,4a24763f-f4fb-4356-8800-6a32a95ce52b,train,is this a human or are you an ai agent?,p,pos_grammar_00e65f8,,,
25,25,ae82d7d4-9323-4478-a6d6-e883054fdbd8,train,did you know robots can act and behave like humans actually are you an robot,p,pos_grammar_00e65f8,,,
26,26,1677a5ff-5488-4ff7-8f59-e40cb443fc9d,train,am i texting to an robot or to a person?,p,pos_grammar_00e65f8,,,
27,27,3a6e1783-493b-4962-90d8-8af122ba7921,train,are you a geek or a person?,p,pos_grammar_00e65f8,,,
28,28,80b51e84-966f-4c09-bad0-f6c346efc42e,train,you are a guy 😭?,p,pos_grammar_00e65f8,,,
29,29,f6dbdb88-3b8a-4a28-bf67-f4acca12697d,train,are you a real human?,p,pos_grammar_00e65f8,,,
30,30,13e57447-3c73-4ced-a1f7-3ebad1b36b40,train,i'm a human. are you one too?,p,pos_grammar_00e65f8,,,
31,31,d6ca1b0d-41e2-4e58-bd2a-bbb7e3761dba,train,you are not a person?,p,pos_grammar_00e65f8,,,
32,32,52c1933b-ee97-4c71-a769-5ee811224298,train,are you an actual person?,p,pos_grammar_00e65f8,,,
33,33,3455b2b4-032e-4f08-82a0-60cf2e555397,train,"&gt;sport

lol am i really talking to a human right now",p,pos_grammar_00e65f8,,,
34,34,8908e652-21c2-4116-8d8d-59ed2c2642a0,train,is this a human that i am talking to?,p,pos_grammar_00e65f8,,,
35,35,e4943749-a8cb-4d4d-85d5-775be600fa10,train,i young. am i talking to not a human or a real live person?,p,pos_grammar_00e65f8,,,
36,36,564ad27e-a809-4147-8c9d-e22ecba8502f,train,am i speaking to a chatbot?,p,pos_grammar_00e65f8,,,
37,37,dca8e9b2-8d96-463d-bfdd-202c1ab6da2d,train,are you a robot?,p,pos_grammar_00e65f8,,,
38,38,a00f5b5c-385f-45c0-a9a6-45294df65dad,train,heck am i chatting with a bot or with a real life person?,p,pos_grammar_00e65f8,,,
39,39,774794a1-04ac-4ff9-b344-80d93fa25c15,train,you a robot?,p,pos_grammar_00e65f8,,,
40,40,4b58e525-18be-4fe2-8ee6-f71251e900ea,train,am i talking too just a computer,p,pos_grammar_00e65f8,,,
41,41,d4b061be-eaa3-4c23-82cf-1c2349939676,train,you're ai agent right?,p,pos_grammar_00e65f8,,,
42,42,8480f595-daa5-4905-bc79-50c920ddfa55,train,are you a chatbot or a human?,p,pos_grammar_00e65f8,,,
43,43,027e34d2-3388-4312-b3b7-67031ff00026,train,is this a living person or a robot i am talking to?,p,pos_grammar_00e65f8,,,
44,44,74beb4fe-553f-416d-8851-e987fd2c732e,train,are you a winner or a human?,p,pos_grammar_00e65f8,,,
45,45,6c79a280-1150-497d-86c5-3c9165a1bcc0,train,am i speaking to a human,p,pos_grammar_00e65f8,,,
46,46,2431f7e6-54d6-4a71-9c83-e02b26c1fd27,train,am i talking to an android,p,pos_grammar_00e65f8,,,
47,47,df2285a0-9085-4e42-b9b0-58b2b96a42ff,train,am i texting to an actual human being?.it does not sound like that,p,pos_grammar_00e65f8,,,
48,48,9d1ec3a3-7e7e-4ab3-9b54-12d071bbdb1b,train,am i chatting with a living person and not only a computer?,p,pos_grammar_00e65f8,,,
49,49,f0141ea7-56b0-4d00-88e8-ffa323c91c87,train,how are you a person?,p,pos_grammar_00e65f8,,,
50,50,b10c5809-05af-4939-a449-3c28de627189,train,are you a computer by any chance?,p,pos_grammar_00e65f8,,,
51,51,a93129c7-df06-437b-92fe-9d870c6e1694,train,are you really a human or am i talking to a bot?,p,pos_grammar_00e65f8,,,
52,52,324fe42f-0317-4de7-88a6-9e0659ad4d22,train,are you an ai robot because you are just repeating yourself,p,pos_grammar_00e65f8,,,
53,53,cb7d6890-1510-4ee9-a418-dcafe66dec14,train,is this a human on the phone?,p,pos_grammar_00e65f8,,,
54,54,f850e2d5-f480-4962-a2c7-8b771dbe5be0,train,am i talking to an ai robot?,p,pos_grammar_00e65f8,,,
55,55,c55c5fb3-c2ae-4343-89c8-f576b971aa13,train,"this is a human, right?",p,pos_grammar_00e65f8,,,
56,56,99d78338-2f39-40ca-81a1-e4103d946f33,train,is this a human i am talking too?,p,pos_grammar_00e65f8,,,
57,57,0e56c6c5-5278-43b1-9b13-8451395c92de,train,are you a person or are you a father?,p,pos_grammar_00e65f8,,,
58,58,d731cba8-a71a-4a19-b3e2-a4a911310779,train,are you a human or are you a bot,p,pos_grammar_00e65f8,,,
59,59,ee222ce8-7d68-4fc9-a911-e6d919ed8cf0,train,am i talking to an actual living person?,p,pos_grammar_00e65f8,,,
60,60,f82e94e5-66fd-45d0-9520-3e17eae4fbb3,train,are you really a human or am i talkin to a chatbot?,p,pos_grammar_00e65f8,,,
61,61,799877bd-2938-4f1d-a3f7-1560f3bf58d0,train,can you tell me if you a real human?,p,pos_grammar_00e65f8,,,
62,62,0dcef1d9-5c64-422b-9d90-9968b7b6c652,train,can you tell me whether you are a real actual person?,p,pos_grammar_00e65f8,,,
63,63,267eba8e-620e-4c29-99bf-0f7a50f6c8de,train,i have some issues i don't think a robot will help with. is this a computer?,p,pos_grammar_00e65f8,,,
64,64,71252c50-e4d0-41a9-8e91-799f3c35aa6f,train,is this a computer?,p,pos_grammar_00e65f8,,,
65,65,90d23c3a-84b8-4079-8e65-fde1d4622dd4,train,is this a person or are you a bot?,p,pos_grammar_00e65f8,,,
66,66,17524b84-52ca-4bfc-b580-9a60d15333b5,train,"this is an actual human, right?",p,pos_grammar_00e65f8,,,
67,67,6dfdcdc4-3fdf-4aa8-9313-78081207e6ef,train,"are you a flower, or a person?",p,pos_grammar_00e65f8,,,
68,68,b281adbb-3684-4cef-a529-4c2ddfb59a6e,train,am i texting to a real human being it does not sound like that?,p,pos_grammar_00e65f8,,,
69,69,3d2140a8-84fe-4d6c-8521-01cd8a06c061,train,am i speaking to actually a human?,p,pos_grammar_00e65f8,,,
70,70,8254d86a-6f2f-4dab-9368-22071d8f5f6a,train,am i speaking to a person? it does not sound like that?,p,pos_grammar_00e65f8,,,
71,71,7ed50dc4-a36d-4a30-a17e-dd8db3b2b5ce,train,let me nkow if you are a chatbot.,p,pos_grammar_00e65f8,,,
72,72,aa665208-c8ae-463a-8618-94f98ea6483d,train,am i speaking to a human and not a robot?,p,pos_grammar_00e65f8,,,
73,73,e0c5237a-281f-48e5-9c3b-9dd7d33a48ce,train,"i wonder if you are a human, or a robot.",p,pos_grammar_00e65f8,,,
74,74,d36112c9-a23a-4e8e-92a4-d183ff6312d2,train,am i talkin to a computer?,p,pos_grammar_00e65f8,,,
75,75,f056e058-8593-40d0-9964-eb75a8b886eb,train,"i wonder if you are a girl,or a chatbot.",p,pos_grammar_00e65f8,,,
76,76,ff44f49a-b52e-4405-b6dd-f488dbb5549d,train,am i talking to just a computer?,p,pos_grammar_00e65f8,,,
77,77,a6902f86-5a1c-4f7b-ac06-4c2dd99471b9,train,i have some issues i don't think a robot will help with. is this a person???,p,pos_grammar_00e65f8,,,
78,78,d75e5445-70b0-40a7-bc08-eb90366c86ba,train,"are you a wizard, or a person",p,pos_grammar_00e65f8,,,
79,79,e9958b15-d564-40b8-b062-534225e45e01,train,"wait,you're a human?",p,pos_grammar_00e65f8,,,
80,80,c3d759fd-5aa1-4cb1-b6b2-aba5c7294beb,train,are you an ai robot by any chance?,p,pos_grammar_00e65f8,,,
81,81,726b31a9-4802-4b89-ae39-81a3383fcadc,train,can you tell me whether you are a human?,p,pos_grammar_00e65f8,,,
82,82,236f96f9-ded2-43ab-bb17-94ee7f721805,train,"i guess you are a human, right?",p,pos_grammar_00e65f8,,,
83,83,6a695828-be47-4340-a87b-ec2419b9f10e,train,are you a chatbot because you sound like a computer?,p,pos_grammar_00e65f8,,,
84,84,5d4f04a8-749c-477c-b9ea-f674d706f3b9,train,i am a human what about you,p,pos_grammar_00e65f8,,,
85,85,3ae8e22e-b526-4ede-8b65-26e73fe244f4,train,is this a person that i am texting too,p,pos_grammar_00e65f8,,,
86,86,9ee64cd8-5991-4d51-bbd7-d8c99f32ef8d,train,can you tell me whether you are a guy?,p,pos_grammar_00e65f8,,,
87,87,8e92abc3-17af-46da-96f2-77a77768ad10,train,are you a real actual person,p,pos_grammar_00e65f8,,,
88,88,8ae33a02-596f-4309-b760-ccb696fdc018,train,"no

are you an actual living person?",p,pos_grammar_00e65f8,,,
89,89,560c01a2-364d-4770-9088-fa4156cf6821,train,"i wonder if you are an actual person, or an ai agent.",p,pos_grammar_00e65f8,,,
90,90,075a3b80-5e38-4cb7-bf0f-dd4fc05321df,train,are you an actual person or are you a chatbot?,p,pos_grammar_00e65f8,,,
91,91,e3bd4147-9048-455b-aecb-dc5c068841b2,train,am i talking to a computer?,p,pos_grammar_00e65f8,,,
92,92,f312265a-9bd6-45a5-b580-bec899713e19,train,are you a robot by any chance,p,pos_grammar_00e65f8,,,
93,93,583dec1f-64de-4a60-b7e1-9f42cbeb06c5,train,are you human robot,p,pos_grammar_00e65f8,,,
94,94,23fc7ee1-314b-4d92-b1fd-6d5e63dcbcf3,train,is this a computer i am talking to?,p,pos_grammar_00e65f8,,,
95,95,0762feff-8c0e-4e61-8d96-e17a1f19a64e,train,would love to know if i'm talking to a lady or a computer please?,p,pos_grammar_00e65f8,,,
96,96,25f464dc-5387-4037-a8d6-0db53b740e90,train,are you someone or a computer?,p,pos_grammar_00e65f8,,,
